PyScript,Total Memory(MB),Total Time(s)
bench_plot_hierarchical.py,1865.957031,504.021
bench_plot_lasso_path.py,388.027344,98.837
bench_plot_neighbors.py,166.242188,18.021
bench_plot_parallel_pairwise.py,527.015625,13.515
bench_plot_svd.py,178.746094,11.317
bench_random_projections.py,501.722656,30.879
bench_sample_without_replacement.py,130.609375,20.767
bench_sgd_regression.py,476.566406,19.338
bench_sparsify.py,90.527344,11.976
bench_text_vectorizers.py,285.585938,64.044
bench_tree.py,174.882812,85.511
bench_tree_n1_1_n2_10.py,147.976562,9.147
bench_tree_n1_2_n2_10.py,150.46875,9.365
bench_tree_n1_3_n2_10.py,154.871094,12.964
bench_tree_n1_4_n2_10.py,148.625,17.462
bench_tree_n1_5_n2_10.py,149.480469,25.568
bench_tree_n1_6_n2_10.py,149.554688,35.117
bench_tree_n1_7_n2_10.py,158.597656,40.981
bench_tree_n1_8_n2_10.py,156.921875,50.998
bench_tree_n1_9_n2_10.py,164.875,74.479
bench_tree_n1_10_n2_1.py,174.871094,71.682
bench_tree_n1_10_n2_2.py,175.714844,77.170
bench_tree_n1_10_n2_3.py,162.816406,79.522
bench_tree_n1_1_n2_1.py,140.953125,3.317
bench_tree_n1_1_n2_2.py,141.921875,3.917
bench_tree_n1_1_n2_3.py,143.667969,4.242
bench_tree_n1_1_n2_5.py,146.023438,5.102
bench_tree_n1_1_n2_6.py,145.027344,5.446
bench_tree_n1_1_n2_7.py,146.941406,5.866
bench_tree_n1_1_n2_9.py,148.945312,6.295
bench_tree_n1_2_n2_1.py,143.425781,6.013
bench_tree_n1_2_n2_2.py,129.621094,5.245
bench_tree_n1_2_n2_3.py,143.644531,6.431
bench_tree_n1_2_n2_4.py,143.679688,6.646
bench_tree_n1_2_n2_5.py,144.542969,6.860
bench_tree_n1_2_n2_6.py,147.722656,7.283
bench_tree_n1_2_n2_7.py,149.570312,8.071
bench_tree_n1_2_n2_8.py,149.789062,8.972
bench_tree_n1_2_n2_9.py,149.828125,9.462
bench_tree_n1_3_n2_1.py,144.125,9.037
bench_tree_n1_3_n2_2.py,144.945312,9.992
bench_tree_n1_3_n2_3.py,144.625,9.409
bench_tree_n1_3_n2_4.py,145.011719,10.503
bench_tree_n1_3_n2_5.py,145.234375,10.399
bench_tree_n1_3_n2_6.py,146.324219,11.519
bench_tree_n1_3_n2_7.py,146.449219,11.878
bench_tree_n1_3_n2_8.py,146.570312,11.081
bench_tree_n1_3_n2_9.py,151.484375,13.379
bench_tree_n1_4_n2_1.py,147.964844,13.968
bench_tree_n1_4_n2_2.py,148.214844,13.961
bench_tree_n1_4_n2_3.py,146.609375,13.688
bench_tree_n1_4_n2_4.py,146.5,14.509
bench_tree_n1_4_n2_5.py,147.980469,15.142
bench_tree_n1_4_n2_6.py,148.402344,15.381
bench_tree_n1_4_n2_7.py,146.582031,15.445
bench_tree_n1_4_n2_8.py,148.953125,17.979
bench_tree_n1_4_n2_9.py,148.019531,17.059
bench_tree_n1_5_n2_1.py,147.472656,21.773
bench_tree_n1_5_n2_2.py,146.871094,20.907
bench_tree_n1_5_n2_3.py,147.53125,20.507
bench_tree_n1_5_n2_4.py,147.863281,25.565
bench_tree_n1_5_n2_5.py,147.851562,25.147
bench_tree_n1_5_n2_6.py,147.539062,27.438
bench_tree_n1_5_n2_7.py,147.683594,23.778
bench_tree_n1_5_n2_8.py,148.980469,22.777
bench_tree_n1_5_n2_9.py,148.847656,26.084
